condition,review,rating,usefulCount
Weight Loss,"""I have been talking Belviq for one week and I&#039;ve already lost 3lbs. The headaches lasted the days. I eat less and I walk for 30 minutes everyday.""",10.0,102
Birth Control,"""I&#039;ve been on Alesse for about 3 months and my acne is terrible and I feel depressed often. I&#039;ve had no spotting and very light periods though.""",4.0,12
Acne,"""I&#039;ve been using this cream every night for about a month now, I wash my face then put it on and go to sleep. A lot of my acne has cleared and now I only have small bumps on my jaw but this product DRIES out your skin. There is nothing I can&#039;t do, and I moisturize daily but it is ruining my face. My makeup looks patchy and bad and I can&#039;t do anything about it.""",8.0,29
Inflammatory Conditions,"""Had 4mg 6 day pack. By day 3 had severe stomach and chest pain and diarrhea. Have more energy but also insomnia.""",6.0,37
Not Listed / Othe,"""My son is 13 and is an extreme bed wetter. 1 spray of this spray and he is dry each morning - it is so good and such a relief for my son""",10.0,3
Emergency Contraception,"""After taking Next Choice One Dose - I experienced three periods in one month, intestinal pain, constipation, headaches, and high blood pressure. I am a healthy run of the mill 23 year old, so I was extremely surprised by these side effects. I had taken Next Choice once before when it was a two dose. It did not have this effect on body, cycle, or hormones. It has been a hard month due to this medication - but it&#039;s better than an unwanted pregnancy. I don&#039;t want to discourage anyone from taking this. I just want them to know what they may have to go through. Like I said, it&#039;s still a small price to say.""",9.0,21
Pain,"""I have taken this off and on for headaches/migraines over the past ten years, going months between needing it. It was not addictive even when taken daily for several months because of hormonally aggregated headaches, but provided substantial relief versus Over The Counter meds.""",9.0,4
Bronchitis,"""Felt so sick to my stomach, laid in bed for 2 weeks, I experienced bloating, nausea, couldn&#039;t eat. Cramping was serious, I suffered from chills, fever, aches and pains. Headache was also present, made me feel lightheaded also. Couldn&#039;t function. """,6.0,20
Seasonal Allergic Conjunctivitis,"""Prescribed before and after cataract surgery with good results, decreased itching, tearing, reddening, which lessened the urge to rub eyes post surgery. Only drawback for me, must be used daily or you are back to square one. Did not interfere with post surgery meds. It does have a cost factor.""",10.0,9
Chronic Pain,"""After taking Norco 10/325 for close to 8 months, I was switched to Percocet 10/325 and what a difference! I take 4 a day and I have my life back!!
I was injured earlier this year and fractured my patella. Even Physical Therapy didn&#039;t help as much as it should, because I was left with osteoarthritis in my knee. I&#039;m now able to do chores, go places and enjoy life again thanks to no pain! Thank you Percocet.""",9.0,79
"Onychomycosis, Toenail","""I have had an infection on all 10 toenails since I was in my early teens - either through poor hygiene or communal swimming area. I am now 38 and in the last 5 or so years I became fed up with hiding my feet, so began to use topical treatments to little avail. I then went for laser treatment and wasted a lot of money. As a last resort I went to the doctor, he prescribed me Terbinafine and within a couple of weeks i noticed clean and clear nails growing from the bed. Almost 6 months in and my nails are practically clear of the infection. If only I had started taking this years ago rather than wasting money on on the counter treatments. Am now looking forward to my next holiday where I will finally be able to wear whatever footwear I want.""",10.0,40
ADHD,"""Took it from 7-12 years old. When stopped, grades went down and gained weight. Taking it now again at 21. My gosh. First day back on it and wow.""",9.0,65
Birth Control,"""I had the Mirena inserted about 4 years ago, after my second child was born. Getting it put in I had minor pain, no worse than normal menstrual cramps. However, my hormones have been super crazy. I go from normal to upset, mad, crying within seconds. I&#039;ve never had this issue prior to children or the Mirena. I&#039;ve seen Mental Health Counselors in fear I was losing my mind....however it&#039;s been boiled down to the birth control. After numerous hormone testing and blood tests I&#039;ve decided to get it taken out early. I hate feeling like I have no control over my emotions.""",10.0,17
Acne,"""I started using adapalene with clindamycin in January 2014 for my acne. I&#039;ve never had really bad skin until freshman year of college. The acne probably resulted from a combination of stress, new environment, and poor eating habits. Probably hormones too. But anyways, I definitely recommend these products. I still do get blemishes, but nothing near as severe and the painful bumps that covered everywhere on my face but my cheeks. I&#039;m so happy my doctor prescribed me this. If you have acne, YOU DON&#039;T HAVE TO SUFFER! Go to the doctor. By the way, it got worse before it got better for me, so stick with it. Also, it&#039;s drying, so make sure to use a moisturizer. I use Cetaphil.""",9.0,53
Birth Control,"""I have been very pleased with this product. My worst issues have been headaches and random spotting that happened off and on for the first few months but the headaches are never terrible and seem to have vanished now. I only get periods maybe every 3-4 months and when I do they&#039;re very light and easily managed. I like the Nexplanon as it does not interfere with my day to day activities, the side effects are minimal, and I don&#039;t even think about it unless I rub my hand against the placement site. I would get it again.""",10.0,9
Birth Control,"""I was on the Depo shot for a little over a year and a half. At first I had a very long period (14 days for a few months when my period was generally about 3 days previously). Then I stopped having a period altogether. Its been a month since I was due for my shot. After reading online I was worried that I would be waiting months-year to get my period back after it however, I woke up today and thankfully got it. I&#039;ve never been so happy to get my period before. I guess I&#039;m one of those lucky few that get their period back as soon as they are off of it. """,6.0,6
Major Depressive Disorde,"""Been taking Brintellix a little over a month, 5mg in the morning. No side effects. Tried to increase to 10mg experienced nausea, tiredness and jittery feeling. I suffer from insomnia and take 300mg Seroquel at bedtime. I wish I could tolerate the side effects at 10mg so I could get the full benefit of the medicine.""",2.0,30
Bowel Preparation,"""First time colonoscopy and first time using Suprep.  I did the first round at 3 pm, Taste was tolerable as it tasted like bittery cherries.  Mixed it with ice water and chugged it down in 5 minutes, the next 16 oz water in to minutes and then the last 16 oz water 30 after that.  Started working 20-30 minutes.  I suggest staging in the bathroom or very near it for the first hour.  I drank clear liquids and jello after the first dose.  The second dose was at 8 pm and took about 2, 2 1/2 hours to subside.  I did not drink anything after that dose as I felt it was still working.  Got a few hours sleep.  My procedure was 7am. I only had minor chills from the amount of cold water to drink.  All in all not the a bad horrible experience.""",9.0,24
Anxiety,"""Really good for as-needed, I take it less than once a week because my antidepressant works well. For me, 0.5mg in the early afternoon really takes the edge off, doesn&#039;t knock me out or leave me stoned, and lets me sleep that night. Rated a 9/10 because I have sexual side-effects for a few days afterwards, really not a big deal because the benefits outweigh. Only take this medicine as-needed, tolerance builds fast so a script of 30 should theoretically last 6 months. Be safe, and above all, communicate with your doctor. Benzos can be very useful if used properly.""",9.0,80
Major Depressive Disorde,"""I&#039;ve been on Zoloft for 2 months. I&#039;ve have massive depression after I had my twins. I had suicidal thoughts and thoughts of just letting go.I went to the doctor for help and he prescribed me Zoloft 25mg but the 25mg wasn&#039;t working. So I took 50mg and it is awesome. I feel myself again like I was 18. No worries in the world. Just felling like life was life again. Thanks to Zoloft I got my life back.""",9.0,87
Birth Control,"""I got my Mirena almost 6 months ago now and I absolutely love it. I read so many reviews that made me hesitate to get it - it took me months to decide which birth control to get, but my Dr recommended this so I trusted her. I have had 1 child previously, 2 years ago now, so I think that helped make my experience smooth. I took some ibuprofen before getting it put in and there was discomfort but nothing unbearable. I spotted and had irregular periods for the first 2 months, it was really annoying. Then I spotted occasionally for another two months or so. My periods have stopped completely now so it was worth it. Also, the cramping was not bad at all. Nothing more than the moderate period pains I used to get. And my partner never notices it.""",10.0,47
Insomnia,"""I was prescribed 0.25mg for about 9 months. It worked great. Quick acting and nice feeling. But tolerance did build up towards the end and was not getting as good sleep. I&#039;m on Zolpidem now which I find great.""",9.0,25
Panic Disorde,"""Took 2 weeks to feel a bit better.  Stick with it through side effects. I take 62.5 mg in the morning and 25 mg in evening now.  After 5 months I feel pretty good.""",9.0,36
Weight Loss,"""I started Phentermine January 10,2014.  I weighed 258. My first one month check up I weighed 228!  I lost 30 pounds! I currently weigh 224! My second check up is March 13. I plan to weigh 200! Keep up the good work ladies! My goal weight is 150!""",10.0,91
Obsessive Compulsive Disorde,"""Excellent for this condition!!""",10.0,9
High Blood Pressure,"""Not a good experience with this medication. I had constant lightheadedness upon standing and almost fainted once or twice. It also caused muscle cramping in my back.""",3.0,84
Mitral Valve Prolapse,"""I am 39 and identified as having Mitral Valve Prolapse at 28 after worrisome irregular heartbeat manifested itself typically in the evenings. Have used atenolol since then at low dosage (12.5-25mg/day) and am thrilled with the results.  Have experienced no side effects but for a little lethargy upon first starting out (either has passed or I&#039;ve grown accustomed to it in the evenings).""",10.0,18
Weight Loss,"""I started phentermine two months ago (mid-Jan 2014) and I have lost 25 pounds (almost 26) so far. Working out is a challenge with my kids so I just try to walk whenever I can. I mostly monitor my caloric intake to make sure I eat enough to avoid my body&#039;s starvation defense mode, because that would defeat the purpose. I usually do the protein meal bars for lunch or breakfast shakes and then a sensible dinner. Only discomfort is the occasional constipation when I don&#039;t drink enough water. But usually the dry mouth is enough incentive to drink as much water as possible. Also I completely eliminated soda and other caffeine sources which I believe helps avoid the risk of heart palpitations.""",9.0,24
Bipolar Disorde,"""I tried EVERY medication out there, I swear. It has always ended badly, bad side effects, bad combinations, etc. And because of that I have been more against taking meds. Once we finally figured out that depression wasn&#039;t my problem, and I was diagnosed with a mood disorder (unofficially Bipolar II since I&#039;m still not 18), I&#039;m finally on 75mg of Topamax, 20mg of Prozac, and then I take Adderall XR 30mg and Adderall normal 10mg and this combination has had any positive effect, without any negative side effects. I do think I have suffered from the side effect of memory loss and slow thinking, not enough to make me stop taking it though. It has helped me so much and I recommend to anyone who is having trouble finding medicines that work for them.""",9.0,94
Birth Control,"""I was on Tri-Sprintec for 2 months and it completely cleared my cystic acne. I had terrible, terrible acne for about 7 years before that and it completely scarred my cheeks. it even seemed to help with the scars a bit. I also lost a bit of weight on this pill. The only problem I had was that I would get a 2 day migraine on the first pack of pills. I switched and realized the headaches were a lot better than the other medicine so I am now switching back to Tri-Sprintec. This is by far the best birth control I&#039;ve been on.""",10.0,16
Abnormal Uterine Bleeding,"""I have been told I have polycystic ovarian syndrome, my period was never normal. If go to a year without bleeding then all of a sudden I started bleed for 5 months straight. Being overweight my doctor told me I would have to take two Depo-Provera shots so I did. I continued to bleed heavy and hard and very painful so I decided to find another doctor and he prescribed my Mononessa. I stopped bleeding in one week and when it was time to take the last 7 pills I was nervous to take because I didn&#039;t want to bleed but my period came and it was so light no cramps just a little moody. So glad I finally found something that truly works for me.""",10.0,28
Major Depressive Disorde,"""Excellent for Major Depressive Disorder, as well as some mixed anxiety disorders.""",10.0,32
Birth Control,"""I&#039;ve experienced a confusing period but its a lot less than before I got it as well as less cramps. In the beginning I gained a pound or two but realized its only because Implanon made me more hungry so I regulated my eating patterns and now I haven&#039;t gained any weight. Sometimes I might feel pregnant (since some of the symptoms relate) but I&#039;m generally paranoid when it comes to my body. I love my Implanon and I&#039;m greatly satisfied with it. Glad I got it best thing ever.""",9.0,22
Depression,"""I have been on Cymbalta, 60mg&#039;s for several months now. I am more relaxed and my depression is not as bad, however, I do still have down moments. I too have noticed that I have the dry mouth, yawning, not sleeping sound every night have experienced upper, underneath my ribs on my right side pain. My joints hurt in my knees. """,7.0,55
Bowel Preparation,"""Had my 3rd colonoscopy today, and this is the first time I have used Suprep. This is the first time I feel normal after the procedure! All prep medicines taste yucky, but because Suprep requires only 16oz. of liquid nastiness, followed by 32 oz. of water (twice); it was not unbearable. I have vomited while taking previous preps, but did not with Suprep. Yes, it is very salty and sweet, but if you use a straw it keeps it off your lips. I ended up taking about 5 sips with a straw over a 20-minute period to get it down, as any faster would have made me puke. Drinking the 32 oz. water afterward was not hard because the saltiness made you thirsty and want to drink it. I will recommend Suprep over all other preps to my friends.""",8.0,31
Schizoaffective Disorde,"""I think that it helps with the schizoaffective disorder they put me on it 2 yrs ago &amp; now I don&#039;t hear the louds as much as I did before.""",6.0,16
Obesity,"""I began taking Phentermine on 12/5/13. At that time I weighed 181 lbs &amp; had 46% body fat. Today I weigh 140 lbs &amp; have 33% body fat. I went from a size 14 to a size 6. I still have weight to lose &amp; am continuing to take the medication, but I thought I&#039;d offer my opinion after 5 mos on the medicine. It works very well. Having said that, I have had some side effects - dry mouth &amp; insomnia. The dry mouth isn&#039;t all bad. It has forced me to drink tons of water, but the insomnia is difficult. I take 1 37.5 mg pill in the morning, but if I&#039;ve had trouble sleeping for the last few days I might take 1/2 or skip a dose all together. Also, the medicine makes me more irritable than normal, but gives me energy to work out.""",8.0,38
Chronic Pain,"""This medicine works wonders on Fibromyalgia. Especially the burning nerve pain and nagging throbbing pain.""",10.0,33
Skin or Soft Tissue Infection,"""This is my 3rd time on this in the past 5 months &quot;3 pills a day for a week&quot;  for a skin infection/eczema ( pompholyx ) that keeps reoccurring and this always clears it up! It gets the job done.""",10.0,33
Abnormal Uterine Bleeding,"""I have been on the Depo-Provera shot for 5 years, I love it, I haven&#039;t had a period since I got the first shot. Then one day randomly, I started spotting, I wasn&#039;t to concerned at first but the bleeding went on and got heavier over a span of 2 months (I had been trying to get into the doctors but that hadn&#039;t been working out). Finally I was able to talk to my doctor and it just turned out to be my body basically adapting to the progestin, so instead of coming in every 12 weeks I come in every 10 to 11 weeks depending on if I start bleeding.""",8.0,38
Anxiety,"""I found this medicine very helpful in my anxiety.""",9.0,52
"Ulcerative Colitis, Active","""Salokfalk and then Prednisolone stopped the diarrhoea but not the blood, but within a week of talking one Mesalazine (UK name) tablet twice a day everything was pretty much back to normal.""",9.0,1
Vitamin/Mineral Supplementation during Pregnancy/Lactation,"""I have no major problems on the Prenatal Plus.""",8.0,3
Birth Control,"""Was on Ortho Tri-Cyclen Lo 4 yrs ago for 2 years, kept a healthy diet and exercised. Gained a little weight, but just on my girly parts! Very mild PMS, reg and moderate periods. Had a baby last year and used the mini pill for 9 months. Only been on Tri Sprintec for 6 weeks and right away I noticed side effects. It wasn&#039;t until I read some reviews that I realized I was getting hives from it. I have pretty bad allergies so I thought that was why. I am a very optimistic person and anytime I feel in a bad mood I do any/ everything to come out of it. It seemed like I was constantly TRYING to pull myself out of a funk. Also, noticed a decrease in appetite and libido. The positive is clearer skin- except for one recent breakout, it&#039;s FREE and I&#039;m not pregnant.""",10.0,14
Depression,"""I have an unspecified mood disorder. It helps me not have so many highs and lows. I can actually think before I rage out of control so I have much more self control but I still have panic attacks and in one week I&#039;ve lost 4 pounds, (I&#039;m an emotional eater).""",8.0,50
"Hypogonadism, Male","""I had suffered from anxiety and depression (suicidal grade) since I was a boy.  I first began taking anti-depressants at age 12. My doctor had a chart in her office about low T, it listed 10 symptoms. I had all 10. I asked her to prescribe it. So, she did all of the required tests. I was within the average range. 7 years later same results, I am now 48. Finally in January of 2014, I said that I would chance any side effect. My tests had come back normal yet again. But, she did prescribe it. I woke up on day 14 with NO depression or anxiety. What can I say, 48 years of existing and my brain chemistry is now great. My energy level is incredible and depression simply doesn&#039;t happen. It is quite a miracle. Get it!""",10.0,68
Urinary Tract Stones,"""I have bilateral medullary sponge kidney disease and pass stones almost daily. Although it does not relieve the pain, it does help pass the stones and prevent an obstruction. I no longer experience any of the side effects like dizziness, but I also take it at night. I have a history of cardiac reactions to medications and sometimes a stone will cause my heart rate to skyrocket to 160 with a blood pressure of 165/100, but it is clearly the stones and not caused by Flomax. My only complaint is that my insurance refuses to pay for this medicine because I am a woman. I don&#039;t think that is right, and I&#039;m not going to accept that kind of discrimination. Even my doctor&#039;s office is surprised by the discrimination.""",8.0,62
Birth Control,"""I take birth control mostly to take care of my extremely heavy periods and hormonal acne. This is by far the best birth control I have been on for ME. I originally started on Zovia 1/35 (after already trying 2-3 different kinds of pills), which worked beautifully for a year until I began experiencing spotting and my DR recommended upping the estrogen and trying out the 1/50. When I first started it, I had horrible nausea because my body wasn&#039;t used to that amount of hormones, but that didn&#039;t last long. My skin was completely cleared up and periods were the lightest they&#039;ve ever been. Really loved this pill but I&#039;m on Mononessa now because my new gyno was scared of the amount of hormones I was putting into my body. Never had side effects on this.""",10.0,3
Migraine,"""I get hormonal migraines, about 3 a month.  Just got the dissolvable tablet and tried it twice.  Worked both times in about 30 minutes.  I get pretty drowsy, but I get drowsy when taking Excedrin and Midol.  Both times I used it, I had already taken an OTC and it hadn&#039;t worked.  Next time I&#039;ll skip the OTC and just take this.
""",9.0,7
Osteoarthritis,"""My daughter was given this gel for her leg pain but it had an adverse reaction for her.  It burns her and she refuses to use it so she gave me a tube for my arthritis in both my knees, my hip, back and ankles.  WOW!  This is a dream come true.  It seems to work immediately for me and putting it on right before bed allows me to sleep all night because I have slight to no pain.  I wake up, use it and then my day goes by MUCH better.  I&#039;m going to try to remember to actually take it to work with me so I can apply it there.  I keep forgetting.  Praise God for allowing me to try this gel.  I was leery at first but tried it anyway.  I am TRULY amazed and will buy more and more and more.  Thank you for this amazing discovery.""",10.0,138
Birth Control,"""Been on it for a little over 2 months. The first month was non stop spotting and a lot of it along with really bad cramps. Finally it stopped and I got my first official period since getting the Skyla along with serious period sypmtoms and a feeling of extreme exhaustion. Then about a week and half after the period I began spotting again for the next 2 weeks. Now I have insane mood swings, gas, minor cramps..period symptoms. This birth control is obviously working because of the changes going on. It just comes at a cost.""",9.0,7
Insomnia,"""I was prescribed 0.25mg for about 9 months. It worked great. Quick acting and nice feeling. But tolerance did build up towards the end and was not getting as good sleep. I&#039;m on Zolpidem now which I find great.""",9.0,25
Premenstrual Dysphoric Disorde,"""I first started with a low hormone pill called Azurette. I was having heavy periods that lasted for a week and terrible acne, so I decided to try Yaz and my doctor prescribed me Gianvi, first month my face was completely clear and my period used to last 3 days max but my anxiety and mood changes got worse and my sex drive went from 10 to zero because I was very dry, also noticed my skin got really dry too and I looked like a 60 year old lady!""",3.0,7
Birth Control,"""I recently got my Nexplanon implant removed after three years- I got mine inserted on Decemeber 12th, 2010. I did not experience any bleeding after it was inserted, nor did I have a period for the whole duration of it being in my arm; I&#039;m still waiting for one to arrive a month after it being removed. I also did not experience any weight gain, in fact, my breasts decreased in size (unfortunately for a AA cup). It is great protection- however, I am concerned on how my period will be and when it will come now that I have had it removed (it&#039;s been a month today).""",10.0,10
Bipolar Disorde,"""Saved my life after trying various antidepressants with no results. Felt dizzy and nauseaus the first weeks, but noticed improvements in mood within days.""",9.0,83
Borderline Personality Disorde,"""Been on quetiapine for a couple of years now and this medicine changed my life. I am a better person now and this medicine helped a lot with that. No crisis, no anxiety,  no craving for alcohol or other medicines. Sometimes I think I could be more emotional but it&#039;s a price I had to pay for having peace in my head. Totally recommend. 
I take only 50mg per day and it&#039;s enough to keep me stable.""",10.0,52
Anxiety,"""My doctor prescribed Hydroxyzine for my anxiety. I was taking it along with my antidepressant. WOW. This medicine turned me into a zombie. If I wasn&#039;t asleep, I was completely lethargic. After I stopped taking my antidepressant, I decided to take a Hydroxyzine to see if it would still make me super tired. YEP. It also made me extremely grumpy and impatient.""",3.0,25
,"""This medicine helped my dryness greatly and I can once again enjoy great sexual relations, However, being a migraine sufferer to begin with, this medicine has really magnified my headaches and the number I get each month. I would love to continue using it for the effectiveness, but can&#039;t be nonfunctional due to the number of and severeness of my migraines.""",9.0,46
Diverticulitis,"""This is my first time with a Flagyl and Cipro combination.  It&#039;s been 3 days and so nauseous and the lethargy is awful. I&#039;m not sure I can continue the combination but I will be calling the doctor Monday morning.  And I do have Zofran. These side effects are terrible.""",5.0,41
Narcolepsy,"""I thought Nuvigil was good, but Adderall is amazing.  It helps me feel almost human, again.  Not only does Adderall keep me awake, but it clears up some of the mental fog caused by Narcolepsy.  Cataplexy is also not as severe when I&#039;m on Adderall.  I can finally focus at work, I have enough energy to take care of myself and my family, and I&#039;m doing so well at work that I got two raises in the last 3 months!  The irony is that you have to be well-rested for it to work; otherwise, it does absolutely nothing.  I have also started devoloping a tolerance so it starts to wear off after about 3-4 hours, but I take another dose and it gets me through the rest of the day.""",9.0,42
ADHD,"""I&#039;ve been on over half of the ADHD medications on the list, and all of them either made it worse, or added on to the tic the first medication gave me. I started taking Concerta about two years ago, and I remember improving in school greatly. It works fast, and helps a lot""",10.0,61
Pain,"""I have needed to opiate meds to manage my pain control for many many years.  I have a clotting disorder that had caused high levels of pain for my entire life.  I can remember taking liquid TyCo at 9 or 10 prolly earlier.. Anyway, as a teen, I would use TyCo 3 or vicodin.  It go to a point where I needed way too many to adequately control my pain.  I was switched to OxyContin and had started taking 20mg 3 X day.  Over 8 years, increased to 80mg X 2 day with OxyCodone for breakthrough.  Eventually I was up to 100mg X 2 day.  Changes in providers caused me to change from OxyContin to Opana ER.  I have been started at 50mg X 2 day.  It is just enough to help and take the edge off, but it is no where near as effective (for me) than OxyContin is""",6.0,50
Abnormal Uterine Bleeding,"""At 51, I have uterine fibroids and was experiencing super heavy bleeding for months at a time. My doctor recommended Mirena and I unenthusiastically agreed to it because my other choice was hysterectomy. When younger I had a terrible experience with the pill (made me really depressed which otherwise I am not). I had Mirena inserted 4 months ago and love it. I put on a bit of weight at the beginning which I have mostly lost already. The heavy bleeding is gone. I still wear a pad because I spot once in awhile but before I was using Depend because the bleeding was SO HEAVY. My mood is Ok. no depression or any similar symptoms. No acne. Insertion is painful but quick. The discomfort goes away immediately. So far Mirena is Ok for me.""",10.0,72
Birth Control,"""I&#039;ve had the Implanon for about six months now and I love it. The only thing that is, is that I get my period every other month but once I do get it it happens for a week and goes away like normal but then sometimes I will have a second period 3-4 days later.. I was told to expect anything but I wasn&#039;t expecting this. My cramps aren&#039;t bad at all but the bleeding time can get annoying.""",10.0,8
Birth Control,"""Nexplanon is my first birth control. I have had it for about 5 months now. I had it inserted about 8 weeks after I had my first baby.  For the first week after it was inserted, I had a &quot;normal&quot; period and after that, it went away and I have not had another period at all (not even spotting!) I have not gained weight. I have not had any side effects. If you don&#039;t want periods, I think it works best if you are breastfeeding at the time you get it.""",9.0,26
Migraine,"""Took the medicine when I was certain my headache was a migraine and it was completely gone in an hour or less with no side effects.  My insurance used to cover it but now I am getting a lot of push back, switched to Relpax which is also a good but still struggling with insurance. """,10.0,5
Depression,"""Past experience taking medicines that did work (Celexa, Wellbutrin), 1-2 years later they seemed to stop working (weepy, sad, never wanted to get out of bed, no desire to do anything, flash backs of a traumatic event, constantly dwelling on negative past experiences, etc.). 10mg Brintellix prescribed (1/10/14) while weaning off Wellbutrin. Not so weepy, but was still sad, had no motivation to get out of bed or do anything. Increase to 20 mg (1/28/14), felt like I was going &quot;downhill&quot; fast: even sadder and weepier, etc. Told it may have been too much at once, so was told to take 1/2 dose one day, full dose the next (2/15/14). Still not feeling as well as I thought I should. Increase to 20 mg Blood Pressure went up from 110/68 to 124/72.""",4.0,65
Birth Control,"""This is the first birth control I&#039;ve ever taken and I&#039;ve had a few mood swings, at the same time I&#039;m still a teenager and hormones are flying everywhere so it doesn&#039;t truly bother me. I used to have terrible periods where I would have to miss school for a few days at a time and immediately the medicine fixed it. My period only occurs on the placebo days and is very light and with minor cramps that a few period relief pills help. Last month I did feel very sick during my placebo days and Im sure it&#039;s because I was taking it but not eating. I was told that would happens so I advise you to always eat before taking it. I also had terrible acne and it has cleared up immensely. Overall it&#039;s great for me.""",10.0,17
Erectile Dysfunction,"""Super medicine, but I experienced little headache next day.""",10.0,5
Nasal Congestion,"""It worked to stop congestion but the longer and more I used it the more I needed it! Had to get away from it cold turkey! """,8.0,4
Emergency Contraception,"""I took the pill 1 hour after the condom broke.. I was extremely worried because I had just ovulated and I had read it might be less likely to work, but it did. No major side effects other than I was very very tired a few hours after I took it.""",10.0,24
Barrett's Esophagus,"""I was diagnosed with Barrett&#039;s Esophagus six years ago, and regularly used Prilosec for the past 8 years, but I occasionally still had severe heartburn.  Like the last post, I too was prescribed a higher and higher dose until I was taking 4-6 pills a day, still getting occasional heartburn.  Last year I started taking only 40 mg per day of Pantoprazole, and I seldom (less than once a month when I get careless with food and/or alcohol) have had heartburn at all.  I highly recommend asking your doctor about this medication, if you suffer from long term frequent heartburn and Prilosec no longer sees to work as well.""",10.0,71
Multiple Sclerosis,"""I am 24 with RRMS. My right eye developed optic neuritis Nov of 2011. Officially diagnosed Sept of 2012. Started taking Copaxone a few weeks after diagnoses. Site reaction areas were bad at first but started to diminish after some time. Only other issues I had was around the one year mark but that was due to playing favourites with sites and not rotating properly. After almost 2 years of being on Copaxone I have had no other relapses.""",10.0,69
Premature Lab,"""I was on Prometrium from day 1 up until week 19 then I was placed on the Makena shot which is also progesterone until I was 36 weeks. I fully believe this is why I have my daughter today. She is almost two and has had no side effects from me taking this medication in pregnancy. I have MTHFR FACTOR  and low progesterone. This is why I needed to be on this medication""",10.0,21
Weight Loss,"""Been one week and down 7lbs... I have a slight headache but not sure if it is because my desire for diet coke (reducing caffeine intake) and food has reduced greatly!  Headaches relieved by ibuprofen. Sometimes I look at the clock and its 1-2 hours after normal meal time!  I used to be the first (or second) person at our work cafe for every meal!  I will repost after a month.   Love the results so far.  I have willpower and not so food obsessed!""",10.0,42
Birth Control,"""Made me moody mid cycle and really pms-y the week before my period. I lost my period for a while there and they tried me on this birth control to help it start up again. I didn&#039;t gain weight until about 6 months of taking it, I started to baloon up from 117-132lbs. I&#039;m not very tall so it was noticeable. It made it hard to lose weight. It&#039;s been a week since I&#039;ve stopped the birth control and I already feel less hungry and less puffy. Losing the weight will be no problem now I feel.  This compared to others was much better, but not for me long term.""",6.0,6
Menstrual Disorders,"""I have been on this for over a year. I was on Sydea previously for a year. This birth control works great. There are no cramps, it&#039;s a lighter flow, I&#039;m more emotionally stable, it&#039;s shorter, and I only had one scare because I forgot to take it for two days in a row and my period came late. The only downside I&#039;ve noticed is that I have almost NO sex drive now. But my insurance covers it all until I&#039;m no longer considered a dependent/full time student.""",7.0,0
Hashimoto's disease,"""I started on Tirosint when they stopped making Levoxyl.  I had tried the generic Levothyroxine, but I am lactose  intolerant, and the fillers in them did not work well for me.  I&#039;ve been taking Tirosint for two years now, and I have never felt better.  My TSH levels are optimal, I have better energy, sleep better, and the bloated feeling I had with the generic is gone.""",10.0,63
Anxiety,"""Post Traumatic Stress Disorder survivor! Thriver now! This medicine gave me my life back! Only side effect so far is depression if I come down for too long. DR adjusted my dose and its perfect.""",10.0,101
"Constipation, Drug Induced","""I&#039;d never been regular, my whole life, it was always a problem that I was lucky if it resolved itself every 3 or 4 days, but then once I aged and my rheumatoid arthritis advanced to a debilitating degree, I had to go on opiates...oh dear. 7-8 days or even more of being bound up became the norm. It was REALLY painful! The only way I could help myself was to stop taking my pain meds and overdose on laxatives and enemas every few days.
That usually worked within 24 hrs, but it really isn&#039;t good for you.
I finally confessed to my gastroenterologist that this was going on and he prescribed me Amitiza. 
It took a week to work for me, but now I have the exact opposite problem. I&#039;m on 24 mcg 2x daily. I think maybe it needs to be just once!""",10.0,119
ADHD,"""I am a male and 42 yrs old. I am an ASM in retail and a husband and father of four kids. The doctor prescribed 30 mgs the first two months and upped the meds to 40 mgs. I have only been on them for 5 months. I have seen and felt a huge change in my life style. I am more focused at home and especially at work. I am Mr. Mom and won&#039;t stop cleaning at home. I even cut and edge my neighbor&#039;s front yard. I lost 10 lbs and now weigh 197.  I do feel myself get upset faster though. Because I feel that, I also stop and calm myself down. So far I have no complaints....yet.""",9.0,74
Birth Control,"""So I starting taking Zarah after Ocella was giving me an bad discharge with an odor. At first I thought I loved Zarah. I recently changed insurance and I can no longer get Zarah. I&#039;ve began taking a new pill which I cannot remember the name of but I have now realized how many PROBLEMS I actually had with Zarah. I&#039;ve learned that Zarah was causing weird breakouts around my chin that were just hard painful bumps that never turned into actual zits. It was causing my breasts to lactate, by the way I am 21, have been on birth control since 15 and have never been pregnant. After reading another review I have noticed my sex drive go wayyy up as well. """,4.0,0
Depression,"""Bad withdrawal symptoms when trying to quit. I had horrible depression when trying to wean off. Also didn&#039;t like how I felt on it. Took my imagination away, ability to day dream. Gave me high blood pressure. You must get on medicines for high blood pressure. So either stop Pristiq or get high blood pressure meds if you need it.""",3.0,39
ADHD,"""I was put on Ritalin 10mg three times a day, then on Concerta 27mg. I didn&#039;t have any side-effects until I went to 36mg and I was only losing my appetite. I went back down and it still is really helping my concentration. I finish my work on time and am able to work to a higher level of work.""",10.0,45
Weight Loss,"""Going on 3rd month on 20mg/day and haven&#039;t lost any weight. 5&#039;3&quot; 174lbs. 38 years old.""",1.0,74
